"Step","partition_20_batch16_embd384_lay12_heads8_Huber - loss","partition_20_batch16_embd384_lay12_heads8_Huber - loss__MIN","partition_20_batch16_embd384_lay12_heads8_Huber - loss__MAX","partition_20_batch16_embd384_lay12_heads8_MSE - loss","partition_20_batch16_embd384_lay12_heads8_MSE - loss__MIN","partition_20_batch16_embd384_lay12_heads8_MSE - loss__MAX","partition_20_batch16_embd192_lay12_heads8_Huber - loss","partition_20_batch16_embd192_lay12_heads8_Huber - loss__MIN","partition_20_batch16_embd192_lay12_heads8_Huber - loss__MAX","partition_20_batch16_embd192_lay12_heads8_MSE - loss","partition_20_batch16_embd192_lay12_heads8_MSE - loss__MIN","partition_20_batch16_embd192_lay12_heads8_MSE - loss__MAX","partition_20_batch16_embd192_lay10_heads8_Huber - loss","partition_20_batch16_embd192_lay10_heads8_Huber - loss__MIN","partition_20_batch16_embd192_lay10_heads8_Huber - loss__MAX","partition_20_batch16_embd192_lay10_heads8_MSE - loss","partition_20_batch16_embd192_lay10_heads8_MSE - loss__MIN","partition_20_batch16_embd192_lay10_heads8_MSE - loss__MAX","partition_20_batch16_embd192_lay12_heads12_MSE - loss","partition_20_batch16_embd192_lay12_heads12_MSE - loss__MIN","partition_20_batch16_embd192_lay12_heads12_MSE - loss__MAX"
"1","0.12383534014225006","0.12383534014225006","0.12383534014225006","0.9594465494155884","0.9594465494155884","0.9594465494155884","0.12026186287403107","0.12026186287403107","0.12026186287403107","0.7791217565536499","0.7791217565536499","0.7791217565536499","0.1217338889837265","0.1217338889837265","0.1217338889837265","0.8382400870323181","0.8382400870323181","0.8382400870323181","0.7785605788230896","0.7785605788230896","0.7785605788230896"
"2","0.04795243218541145","0.04795243218541145","0.04795243218541145","0.21944908797740936","0.21944908797740936","0.21944908797740936","0.05988089367747307","0.05988089367747307","0.05988089367747307","0.26573988795280457","0.26573988795280457","0.26573988795280457","0.07512934505939484","0.07512934505939484","0.07512934505939484","0.36647653579711914","0.36647653579711914","0.36647653579711914","0.26547524333000183","0.26547524333000183","0.26547524333000183"
"3","0.026518845930695534","0.026518845930695534","0.026518845930695534","0.084956094622612","0.084956094622612","0.084956094622612","0.03088967688381672","0.03088967688381672","0.03088967688381672","0.09938491880893707","0.09938491880893707","0.09938491880893707","0.03158925473690033","0.03158925473690033","0.03158925473690033","0.10164454579353333","0.10164454579353333","0.10164454579353333","0.09951987862586975","0.09951987862586975","0.09951987862586975"
"4","0.03143816068768501","0.03143816068768501","0.03143816068768501","0.1111040934920311","0.1111040934920311","0.1111040934920311","0.03927729278802872","0.03927729278802872","0.03927729278802872","0.16452543437480927","0.16452543437480927","0.16452543437480927","0.03292037546634674","0.03292037546634674","0.03292037546634674","0.11650938540697098","0.11650938540697098","0.11650938540697098","0.16451385617256165","0.16451385617256165","0.16451385617256165"
"5","0.02406536601483822","0.02406536601483822","0.02406536601483822","0.05651086941361427","0.05651086941361427","0.05651086941361427","0.032776717096567154","0.032776717096567154","0.032776717096567154","0.12324437499046326","0.12324437499046326","0.12324437499046326","0.028065340593457222","0.028065340593457222","0.028065340593457222","0.10663013905286789","0.10663013905286789","0.10663013905286789","0.12329068779945374","0.12329068779945374","0.12329068779945374"
"6","0.015074517577886581","0.015074517577886581","0.015074517577886581","0.03853921964764595","0.03853921964764595","0.03853921964764595","0.022335199639201164","0.022335199639201164","0.022335199639201164","0.05712632089853287","0.05712632089853287","0.05712632089853287","0.03341474384069443","0.03341474384069443","0.03341474384069443","0.09900839626789093","0.09900839626789093","0.09900839626789093","0.05785307660698891","0.05785307660698891","0.05785307660698891"
"7","0.014193225651979446","0.014193225651979446","0.014193225651979446","0.03307190537452698","0.03307190537452698","0.03307190537452698","0.019898341968655586","0.019898341968655586","0.019898341968655586","0.05072610080242157","0.05072610080242157","0.05072610080242157","0.01609080657362938","0.01609080657362938","0.01609080657362938","0.04220585525035858","0.04220585525035858","0.04220585525035858","0.05135004222393036","0.05135004222393036","0.05135004222393036"
"8","0.01433164719492197","0.01433164719492197","0.01433164719492197","0.03898805379867554","0.03898805379867554","0.03898805379867554","0.01617814227938652","0.01617814227938652","0.01617814227938652","0.04026009142398834","0.04026009142398834","0.04026009142398834","0.014906448312103748","0.014906448312103748","0.014906448312103748","0.036325566470623016","0.036325566470623016","0.036325566470623016","0.04027298465371132","0.04027298465371132","0.04027298465371132"
"9","0.01309505756944418","0.01309505756944418","0.01309505756944418","0.03146474063396454","0.03146474063396454","0.03146474063396454","0.015678975731134415","0.015678975731134415","0.015678975731134415","0.039400018751621246","0.039400018751621246","0.039400018751621246","0.012884881347417831","0.012884881347417831","0.012884881347417831","0.03160952776670456","0.03160952776670456","0.03160952776670456","0.039200711995363235","0.039200711995363235","0.039200711995363235"
"10","0.011781362816691399","0.011781362816691399","0.011781362816691399","0.02753947116434574","0.02753947116434574","0.02753947116434574","0.011200832203030586","0.011200832203030586","0.011200832203030586","0.025609305128455162","0.025609305128455162","0.025609305128455162","0.013158713467419147","0.013158713467419147","0.013158713467419147","0.0304434634745121","0.0304434634745121","0.0304434634745121","0.025682155042886734","0.025682155042886734","0.025682155042886734"
